<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MTSS,D,20141020,000000,227.8200000
MTSS,D,20141021,000000,228.5000000
MTSS,D,20141022,000000,234.6000000
MTSS,D,20141023,000000,231.9800000
MTSS,D,20141024,000000,230.0000000
MTSS,D,20141027,000000,234.2900000
MTSS,D,20141028,000000,238.0000000
MTSS,D,20141029,000000,239.5000000
MTSS,D,20141030,000000,247.5500000
MTSS,D,20141031,000000,255.0000000
MTSS,D,20141103,000000,255.9100000
MTSS,D,20141105,000000,257.5500000
MTSS,D,20141106,000000,257.5900000
MTSS,D,20141107,000000,255.5000000
MTSS,D,20141110,000000,258.5000000
MTSS,D,20141111,000000,260.8600000
MTSS,D,20141112,000000,262.0200000
MTSS,D,20141113,000000,256.0000000
MTSS,D,20141114,000000,253.5000000
MTSS,D,20141117,000000,254.5000000
MTSS,D,20141118,000000,257.4000000
MTSS,D,20141119,000000,254.9700000
MTSS,D,20141120,000000,258.2000000
MTSS,D,20141121,000000,258.7000000
MTSS,D,20141124,000000,255.3000000
MTSS,D,20141125,000000,258.7000000
MTSS,D,20141126,000000,260.0000000
MTSS,D,20141127,000000,257.0000000
MTSS,D,20141128,000000,251.0000000
MTSS,D,20141201,000000,251.0000000
MTSS,D,20141202,000000,252.9500000
MTSS,D,20141203,000000,248.5000000
MTSS,D,20141204,000000,238.5000000
MTSS,D,20141205,000000,222.5000000
MTSS,D,20141208,000000,212.0000000
MTSS,D,20141209,000000,205.4000000
MTSS,D,20141210,000000,204.5000000
MTSS,D,20141211,000000,199.4500000
MTSS,D,20141212,000000,196.5000000
MTSS,D,20141215,000000,176.9000000
MTSS,D,20141216,000000,172.0000000
MTSS,D,20141217,000000,158.5000000
MTSS,D,20141218,000000,198.5000000
MTSS,D,20141219,000000,192.0000000
MTSS,D,20141222,000000,187.0000000
MTSS,D,20141223,000000,176.9500000
MTSS,D,20141224,000000,172.9000000
MTSS,D,20141225,000000,175.0000000
MTSS,D,20141226,000000,174.0000000
MTSS,D,20141229,000000,179.7500000
MTSS,D,20141230,000000,169.0500000
MTSS,D,20150105,000000,174.7000000
MTSS,D,20150106,000000,179.9000000
MTSS,D,20150108,000000,190.0500000
MTSS,D,20150109,000000,195.0000000
MTSS,D,20150112,000000,193.0000000
MTSS,D,20150113,000000,204.5000000
MTSS,D,20150114,000000,210.2000000
MTSS,D,20150115,000000,216.5000000
MTSS,D,20150116,000000,215.8000000
MTSS,D,20150119,000000,215.0000000
MTSS,D,20150120,000000,214.1500000
MTSS,D,20150121,000000,222.9500000
MTSS,D,20150122,000000,227.0000000
MTSS,D,20150123,000000,228.0000000
MTSS,D,20150126,000000,214.2500000
MTSS,D,20150127,000000,215.5500000
MTSS,D,20150128,000000,214.0000000
MTSS,D,20150129,000000,219.5500000
MTSS,D,20150130,000000,217.8500000
MTSS,D,20150202,000000,227.3000000
MTSS,D,20150203,000000,233.0500000
MTSS,D,20150204,000000,232.0000000
MTSS,D,20150205,000000,235.5000000
MTSS,D,20150206,000000,240.8000000
MTSS,D,20150209,000000,240.6000000
MTSS,D,20150210,000000,230.0500000
MTSS,D,20150211,000000,237.9500000
MTSS,D,20150212,000000,250.9500000
MTSS,D,20150213,000000,257.3500000
MTSS,D,20150216,000000,252.3000000
MTSS,D,20150217,000000,252.0000000
MTSS,D,20150218,000000,250.3500000
MTSS,D,20150219,000000,257.0000000
MTSS,D,20150220,000000,252.5000000
MTSS,D,20150224,000000,250.3000000
MTSS,D,20150225,000000,248.6000000
MTSS,D,20150226,000000,253.5000000
MTSS,D,20150227,000000,249.0000000
MTSS,D,20150302,000000,247.5500000
MTSS,D,20150303,000000,257.2500000
MTSS,D,20150304,000000,252.0000000
MTSS,D,20150305,000000,247.5000000
MTSS,D,20150306,000000,244.5000000
MTSS,D,20150310,000000,234.5000000
MTSS,D,20150311,000000,234.0000000
MTSS,D,20150312,000000,232.3500000
MTSS,D,20150313,000000,230.3000000
MTSS,D,20150316,000000,222.7000000
MTSS,D,20150317,000000,220.4000000
MTSS,D,20150318,000000,227.3000000
MTSS,D,20150319,000000,227.0000000
MTSS,D,20150320,000000,238.9500000
MTSS,D,20150323,000000,238.7500000
MTSS,D,20150324,000000,246.0000000
MTSS,D,20150325,000000,249.6500000
MTSS,D,20150326,000000,242.7500000
MTSS,D,20150327,000000,243.0000000
MTSS,D,20150330,000000,246.3000000
MTSS,D,20150331,000000,247.0000000
MTSS,D,20150401,000000,250.9000000
MTSS,D,20150402,000000,250.0000000
MTSS,D,20150403,000000,248.6000000
MTSS,D,20150406,000000,253.9000000
MTSS,D,20150407,000000,255.0000000
MTSS,D,20150408,000000,253.0000000
MTSS,D,20150409,000000,252.0000000
MTSS,D,20150410,000000,248.0000000
MTSS,D,20150413,000000,253.1000000
MTSS,D,20150414,000000,253.5000000
MTSS,D,20150415,000000,263.0000000
MTSS,D,20150416,000000,263.7000000
MTSS,D,20150417,000000,257.0000000
MTSS,D,20150420,000000,252.9000000
MTSS,D,20150421,000000,255.1500000
MTSS,D,20150422,000000,252.4000000
MTSS,D,20150423,000000,253.2500000
MTSS,D,20150424,000000,255.1500000
MTSS,D,20150427,000000,257.8000000
MTSS,D,20150428,000000,261.0000000
MTSS,D,20150429,000000,258.0000000
MTSS,D,20150430,000000,265.0000000
MTSS,D,20150505,000000,267.2500000
MTSS,D,20150506,000000,262.5500000
MTSS,D,20150507,000000,260.0000000
MTSS,D,20150508,000000,264.8500000
MTSS,D,20150512,000000,266.3000000
MTSS,D,20150513,000000,271.0000000
MTSS,D,20150514,000000,268.7000000
MTSS,D,20150515,000000,269.0500000
MTSS,D,20150518,000000,267.6500000
MTSS,D,20150519,000000,260.0000000
MTSS,D,20150520,000000,252.6500000
MTSS,D,20150521,000000,251.0000000
MTSS,D,20150522,000000,252.5000000
MTSS,D,20150525,000000,254.0000000
MTSS,D,20150526,000000,249.4000000
MTSS,D,20150527,000000,244.5000000
MTSS,D,20150528,000000,246.8500000
MTSS,D,20150529,000000,243.0000000
MTSS,D,20150601,000000,241.4000000
MTSS,D,20150602,000000,245.3000000
MTSS,D,20150603,000000,241.0500000
MTSS,D,20150604,000000,239.5000000
MTSS,D,20150605,000000,239.3000000
MTSS,D,20150608,000000,241.5000000
MTSS,D,20150609,000000,241.5000000
MTSS,D,20150610,000000,239.0000000
MTSS,D,20150611,000000,238.2500000
MTSS,D,20150615,000000,241.6000000
MTSS,D,20150616,000000,242.8000000
MTSS,D,20150617,000000,240.1000000
MTSS,D,20150618,000000,243.5000000
MTSS,D,20150619,000000,245.0000000
MTSS,D,20150622,000000,253.1000000
MTSS,D,20150623,000000,250.5000000
MTSS,D,20150624,000000,248.3500000
MTSS,D,20150625,000000,246.0500000
MTSS,D,20150626,000000,248.8000000
MTSS,D,20150629,000000,243.2500000
MTSS,D,20150630,000000,243.1000000
MTSS,D,20150701,000000,243.9000000
MTSS,D,20150702,000000,245.8500000
MTSS,D,20150703,000000,243.9500000
MTSS,D,20150706,000000,222.0500000
MTSS,D,20150707,000000,218.0000000
MTSS,D,20150708,000000,215.7000000
MTSS,D,20150709,000000,219.6000000
MTSS,D,20150710,000000,220.2500000
MTSS,D,20150713,000000,222.1500000
MTSS,D,20150714,000000,219.7500000
MTSS,D,20150715,000000,218.2000000
MTSS,D,20150716,000000,221.7000000
MTSS,D,20150717,000000,219.9000000
MTSS,D,20150720,000000,216.8000000
MTSS,D,20150721,000000,214.9500000
MTSS,D,20150722,000000,211.8000000
MTSS,D,20150723,000000,215.5000000
MTSS,D,20150724,000000,211.0000000
MTSS,D,20150727,000000,207.6500000
MTSS,D,20150728,000000,211.8000000
MTSS,D,20150729,000000,217.0500000
MTSS,D,20150730,000000,219.0000000
MTSS,D,20150731,000000,224.9000000
MTSS,D,20150803,000000,222.5500000
MTSS,D,20150804,000000,222.2500000
MTSS,D,20150805,000000,227.1000000
MTSS,D,20150806,000000,227.6000000
MTSS,D,20150807,000000,229.6500000
MTSS,D,20150810,000000,231.0000000
MTSS,D,20150811,000000,231.9500000
MTSS,D,20150812,000000,230.0000000
MTSS,D,20150813,000000,229.5000000
MTSS,D,20150814,000000,226.7000000
MTSS,D,20150817,000000,230.1000000
MTSS,D,20150818,000000,229.3000000
MTSS,D,20150819,000000,227.9500000
MTSS,D,20150820,000000,232.0000000
MTSS,D,20150821,000000,228.7000000
MTSS,D,20150824,000000,223.7500000
MTSS,D,20150825,000000,224.7000000
MTSS,D,20150826,000000,221.0000000
MTSS,D,20150827,000000,227.2500000
MTSS,D,20150828,000000,228.9000000
MTSS,D,20150831,000000,228.8500000
MTSS,D,20150901,000000,227.5500000
MTSS,D,20150902,000000,228.0000000
MTSS,D,20150903,000000,230.6500000
MTSS,D,20150904,000000,226.2000000
MTSS,D,20150907,000000,224.7000000
MTSS,D,20150908,000000,227.1000000
MTSS,D,20150909,000000,227.0000000
MTSS,D,20150910,000000,225.8000000
MTSS,D,20150911,000000,225.5000000
MTSS,D,20150914,000000,225.7000000
MTSS,D,20150915,000000,222.5000000
MTSS,D,20150916,000000,227.3000000
MTSS,D,20150917,000000,225.6500000
